time="2021-06-19T04:05:02+02:00" level=info msg="Server started" func=main.main file="C:/Users/zindo/Desktop/Magygram/post-service/main.go:74" host=localhost port=462
time="2021-06-19T04:11:11+02:00" level=error msg="User-service not available" func=post-service/service/intercomm.userClient.GetLoggedUserInfo file="C:/Users/zindo/Desktop/Magygram/post-service/service/intercomm/user_client.go:50" request_ip=127.0.0.1
time="2021-06-19T14:16:37+02:00" level=info msg="Server started" func=main.main file="C:/Users/Jel/Desktop/magigram/Magygram/post-service/main.go:74" host=localhost port=462
time="2021-06-19T14:25:05+02:00" level=warning msg="Unauthorized access" func=post-service/service.postService.checkIfUserContentIsAccessible file="C:/Users/Jel/Desktop/magigram/Magygram/post-service/service/post_service.go:554" post_owner_id=d254e541-038a-4afc-a398-94080b8f7cf0 request_ip=127.0.0.1 user_id=7ffa004c-f23c-4647-a830-271c3a000c77
time="2021-06-19T14:30:44+02:00" level=info msg="Post created" func=post-service/service.postService.CreatePost file="C:/Users/Jel/Desktop/magigram/Magygram/post-service/service/post_service.go:81" post_id=9f4d6d54-f028-48b4-b845-a4c9db685729 request_ip=127.0.0.1 user_id=7ffa004c-f23c-4647-a830-271c3a000c77
time="2021-06-19T14:31:21+02:00" level=warning msg="Unauthorized access" func=post-service/service.postService.checkIfUserContentIsAccessible file="C:/Users/Jel/Desktop/magigram/Magygram/post-service/service/post_service.go:554" post_owner_id=d254e541-038a-4afc-a398-94080b8f7cf0 request_ip=127.0.0.1 user_id=7ffa004c-f23c-4647-a830-271c3a000c77
time="2021-06-19T14:31:31+02:00" level=warning msg="Unauthorized access" func=post-service/service.postService.checkIfUserContentIsAccessible file="C:/Users/Jel/Desktop/magigram/Magygram/post-service/service/post_service.go:554" post_owner_id=d254e541-038a-4afc-a398-94080b8f7cf0 request_ip=127.0.0.1 user_id=7ffa004c-f23c-4647-a830-271c3a000c77
time="2021-06-19T14:32:02+02:00" level=warning msg="Unauthorized access" func=post-service/service.postService.checkIfUserContentIsAccessible file="C:/Users/Jel/Desktop/magigram/Magygram/post-service/service/post_service.go:554" post_owner_id=7ffa004c-f23c-4647-a830-271c3a000c77 request_ip=127.0.0.1 user_id=d254e541-038a-4afc-a398-94080b8f7cf0
time="2021-06-19T14:52:47+02:00" level=warning msg="Invalid post id" func="post-service/infrastracture/persistance/mongodb.(*postRepository).GetByID" file="C:/Users/Jel/Desktop/magigram/Magygram/post-service/infrastracture/persistance/mongodb/posts.go:72" post_id=f87378eb-b254-4c9a-960c-28dd674d5af1 request_ip=127.0.0.1
time="2021-06-19T15:04:53+02:00" level=warning msg="Invalid post id" func="post-service/infrastracture/persistance/mongodb.(*postRepository).GetByID" file="C:/Users/Jel/Desktop/magigram/Magygram/post-service/infrastracture/persistance/mongodb/posts.go:72" post_id=f87378eb-b254-4c9a-960c-28dd674d5af1 request_ip=127.0.0.1
time="2021-06-19T15:04:54+02:00" level=warning msg="Invalid post id" func="post-service/infrastracture/persistance/mongodb.(*postRepository).GetByID" file="C:/Users/Jel/Desktop/magigram/Magygram/post-service/infrastracture/persistance/mongodb/posts.go:72" post_id=f87378eb-b254-4c9a-960c-28dd674d5af1 request_ip=127.0.0.1
time="2021-06-19T15:14:40+02:00" level=warning msg="Unauthorized access" func=post-service/service.postService.checkIfUserContentIsAccessible file="C:/Users/Jel/Desktop/magigram/Magygram/post-service/service/post_service.go:554" post_owner_id=7ffa004c-f23c-4647-a830-271c3a000c77 request_ip=127.0.0.1 user_id=37f66e74-71cd-45b5-8070-daeb01323a3b
time="2021-06-19T15:14:50+02:00" level=warning msg="Unauthorized access" func=post-service/service.postService.checkIfUserContentIsAccessible file="C:/Users/Jel/Desktop/magigram/Magygram/post-service/service/post_service.go:554" post_owner_id=d254e541-038a-4afc-a398-94080b8f7cf0 request_ip=127.0.0.1 user_id=37f66e74-71cd-45b5-8070-daeb01323a3b
time="2021-06-19T15:14:56+02:00" level=warning msg="Unauthorized access" func=post-service/service.postService.checkIfUserContentIsAccessible file="C:/Users/Jel/Desktop/magigram/Magygram/post-service/service/post_service.go:554" post_owner_id=7ffa004c-f23c-4647-a830-271c3a000c77 request_ip="::1" user_id=37f66e74-71cd-45b5-8070-daeb01323a3b
time="2021-06-19T15:15:56+02:00" level=warning msg="Invalid post id" func="post-service/infrastracture/persistance/mongodb.(*postRepository).GetByID" file="C:/Users/Jel/Desktop/magigram/Magygram/post-service/infrastracture/persistance/mongodb/posts.go:72" post_id=f87378eb-b254-4c9a-960c-28dd674d5af1 request_ip=127.0.0.1
time="2021-06-19T15:19:07+02:00" level=warning msg="Unauthorized access" func=post-service/service.postService.checkIfUserContentIsAccessible file="C:/Users/Jel/Desktop/magigram/Magygram/post-service/service/post_service.go:554" post_owner_id=7ffa004c-f23c-4647-a830-271c3a000c77 request_ip=127.0.0.1 user_id=37f66e74-71cd-45b5-8070-daeb01323a3b
time="2021-06-19T15:19:25+02:00" level=warning msg="Unauthorized access" func=post-service/service.postService.checkIfUserContentIsAccessible file="C:/Users/Jel/Desktop/magigram/Magygram/post-service/service/post_service.go:554" post_owner_id=d254e541-038a-4afc-a398-94080b8f7cf0 request_ip=127.0.0.1 user_id=37f66e74-71cd-45b5-8070-daeb01323a3b
time="2021-06-19T15:20:15+02:00" level=warning msg="Unauthorized access" func=post-service/service.postService.checkIfUserContentIsAccessible file="C:/Users/Jel/Desktop/magigram/Magygram/post-service/service/post_service.go:554" post_owner_id=7ffa004c-f23c-4647-a830-271c3a000c77 request_ip=127.0.0.1 user_id=37f66e74-71cd-45b5-8070-daeb01323a3b
time="2021-06-19T15:21:07+02:00" level=warning msg="Unauthorized access" func=post-service/service.postService.checkIfUserContentIsAccessible file="C:/Users/Jel/Desktop/magigram/Magygram/post-service/service/post_service.go:554" post_owner_id=7ffa004c-f23c-4647-a830-271c3a000c77 request_ip=127.0.0.1 user_id=37f66e74-71cd-45b5-8070-daeb01323a3b
time="2021-06-19T17:00:21+02:00" level=warning msg="Invalid post id" func="post-service/infrastracture/persistance/mongodb.(*postRepository).GetByID" file="C:/Users/Jel/Desktop/magigram/Magygram/post-service/infrastracture/persistance/mongodb/posts.go:72" post_id=9f4d6d54-f028-48b4-b845-a4c9db685729 request_ip=127.0.0.1
time="2021-06-19T17:00:22+02:00" level=warning msg="Invalid post id" func="post-service/infrastracture/persistance/mongodb.(*postRepository).GetByID" file="C:/Users/Jel/Desktop/magigram/Magygram/post-service/infrastracture/persistance/mongodb/posts.go:72" post_id=9f4d6d54-f028-48b4-b845-a4c9db685729 request_ip=127.0.0.1
time="2021-06-19T17:10:50+02:00" level=warning msg="Unauthorized access" func=post-service/service.postService.checkIfUserContentIsAccessible file="C:/Users/Jel/Desktop/magigram/Magygram/post-service/service/post_service.go:554" post_owner_id=c80e6460-2441-4e2a-bb5d-d834b0afd9d5 request_ip=127.0.0.1 user_id=bfca4097-6a5e-4514-b11c-e9bf9f2113a1
time="2021-06-19T17:11:08+02:00" level=warning msg="Unauthorized access" func=post-service/service.postService.checkIfUserContentIsAccessible file="C:/Users/Jel/Desktop/magigram/Magygram/post-service/service/post_service.go:554" post_owner_id=bfca4097-6a5e-4514-b11c-e9bf9f2113a1 request_ip=127.0.0.1 user_id=c80e6460-2441-4e2a-bb5d-d834b0afd9d5
time="2021-06-19T18:00:07+02:00" level=info msg="Post created" func=post-service/service.postService.CreatePost file="C:/Users/Jel/Desktop/magigram/Magygram/post-service/service/post_service.go:81" post_id=da2ad6a1-d1de-4770-b502-fb0587365a3c request_ip=127.0.0.1 user_id=bfca4097-6a5e-4514-b11c-e9bf9f2113a1
time="2021-06-19T18:07:51+02:00" level=info msg="Post created" func=post-service/service.postService.CreatePost file="C:/Users/Jel/Desktop/magigram/Magygram/post-service/service/post_service.go:81" post_id=01153ce0-0bc3-4b0c-8031-ade817411835 request_ip=127.0.0.1 user_id=c80e6460-2441-4e2a-bb5d-d834b0afd9d5
time="2021-06-19T18:16:59+02:00" level=info msg="Server started" func=main.main file="C:/Users/Jel/Desktop/magigram/Magygram/post-service/main.go:74" host=localhost port=462
time="2021-06-19T18:17:57+02:00" level=warning msg="Unauthorized access" func=post-service/service.postService.checkIfUserContentIsAccessible file="C:/Users/Jel/Desktop/magigram/Magygram/post-service/service/post_service.go:554" post_owner_id=bfca4097-6a5e-4514-b11c-e9bf9f2113a1 request_ip=127.0.0.1 user_id=37f66e74-71cd-45b5-8070-daeb01323a3b
time="2021-06-19T18:18:03+02:00" level=warning msg="Unauthorized access" func=post-service/service.postService.checkIfUserContentIsAccessible file="C:/Users/Jel/Desktop/magigram/Magygram/post-service/service/post_service.go:554" post_owner_id=c80e6460-2441-4e2a-bb5d-d834b0afd9d5 request_ip=127.0.0.1 user_id=37f66e74-71cd-45b5-8070-daeb01323a3b
time="2021-06-19T18:18:21+02:00" level=warning msg="Unauthorized access" func=post-service/service.postService.checkIfUserContentIsAccessible file="C:/Users/Jel/Desktop/magigram/Magygram/post-service/service/post_service.go:554" post_owner_id=bfca4097-6a5e-4514-b11c-e9bf9f2113a1 request_ip=127.0.0.1 user_id=37f66e74-71cd-45b5-8070-daeb01323a3b
time="2021-06-19T18:19:12+02:00" level=warning msg="Unauthorized access" func=post-service/service.postService.checkIfUserContentIsAccessible file="C:/Users/Jel/Desktop/magigram/Magygram/post-service/service/post_service.go:554" post_owner_id=bfca4097-6a5e-4514-b11c-e9bf9f2113a1 request_ip=127.0.0.1 user_id=37f66e74-71cd-45b5-8070-daeb01323a3b
